臺北市,25.0329694,121.5654177
新北市,25.0169826,121.4627868
桃園市,24.9936281,121.3009798
臺中市,24.1477358,120.6736482
臺南市,22.9997281,120.2270277
高雄市,22.6272784,120.3014353
基隆市,25.1276033,121.7391833
新竹縣,24.8387226,121.0177246
新竹市,24.8138287,120.9674798
苗栗縣,24.560159,120.8214265
彰化縣,24.0517963,120.5161352
南投縣,23.9609981,120.9718638
雲林縣,23.7092033,120.4313373
嘉義縣,23.4518428,120.2554615
嘉義市,23.4800751,120.4491113
屏東縣,22.5519759,120.5487597
宜蘭縣,24.7021073,121.7377502
花蓮縣,23.9871589,121.6015714
臺東縣,22.7972447,121.0713702
澎湖縣,23.5711899,119.5793157
金門縣,24.3339636,119.4131185
連江縣,26.160243,119.9516652
